Real, Estimate, Est_Uncert, Gain, Measurement, Meas_Uncert
23, 18, 5, 0, 0, 3
23, 23.496926819355753, 1.875, 0.625, 26.795082910969207, 3
23, 25.773941487751777, 1.153846153846154, 0.38461538461538464, 29.417164957185417, 3
23, 25.65498076484558, 0.8333333333333334, 0.2777777777777778, 25.345682885289463, 3
23, 25.746928300145765, 0.6521739130434783, 0.21739130434782608, 26.07793942722644, 3
23, 24.726772839774767, 0.5357142857142857, 0.17857142857142858, 20.03405772206819, 3
23, 24.123225536695905, 0.45454545454545453, 0.15151515151515152, 20.74336063945428, 3
23, 23.767633170727514, 0.39473684210526316, 0.13157894736842105, 21.42072355533613, 3
23, 23.68301752271828, 0.3488372093023256, 0.11627906976744186, 23.039938597848096, 3
23, 23.593643025151014, 0.3125, 0.10416666666666666, 22.825022346072533, 3
23, 24.018482361017394, 0.2830188679245283, 0.09433962264150944, 28.09693998533464, 3
23, 24.54646753818446, 0.25862068965517243, 0.08620689655172413, 30.14311041615533, 3
23, 24.47399501183531, 0.23809523809523814, 0.07936507936507936, 23.6333137061852, 3
23, 24.013098772816644, 0.2205882352941177, 0.0735294117647059, 18.20580616118145, 3
23, 24.1437274650335, 0.20547945205479456, 0.06849315068493152, 25.92027767918276, 3
23, 24.131778220570432, 0.19230769230769235, 0.06410256410256411, 23.957319251409654, 3
23, 24.151970401772918, 0.18072289156626511, 0.06024096385542169, 24.46696842853168, 3
23, 24.013882472246046, 0.1704545454545455, 0.05681818181818184, 21.721622842099958, 3
23, 23.786450212209118, 0.16129032258064518, 0.05376344086021507, 19.78364243555919, 3
23, 23.73517809464027, 0.15306122448979592, 0.051020408163265314, 22.781516707859673, 3
23, 23.66027827077786, 0.14563106796116507, 0.048543689320388356, 22.19224172307466, 3
23, 23.724597613871918, 0.13888888888888892, 0.0462962962962963, 25.04957608160955, 3
23, 23.5460459842235, 0.13274336283185842, 0.04424778761061948, 19.68933078381771, 3
23, 23.551048823165985, 0.12711864406779663, 0.04237288135593221, 23.664112983266108, 3
23, 23.750801302482245, 0.12195121951219515, 0.04065040650406505, 28.46495981434598, 3
23, 23.671800071830717, 0.11718750000000003, 0.03906250000000001, 21.728369797803122, 3
23, 23.673872598805346, 0.11278195488721807, 0.03759398496240603, 23.726929289355866, 3
23, 23.612270038346335, 0.10869565217391305, 0.03623188405797102, 21.97364193013663, 3
23, 23.396289040339923, 0.1048951048951049, 0.03496503496503497, 17.435213495362945, 3
23, 23.380510184006678, 0.10135135135135136, 0.033783783783783786, 22.92923489287582, 3
