Time, PosX, PosY, VelX, VelY, AccX, AccY, Rot, RotSpeed, MeasAccX, MeasAccY, MeasRotSpeed
0.100000, 0.000115, 0.005446, 0.002307, 0.108913, 0.023068, 1.089126, 0.003651, 0.036511, 0.023068, 1.089133, 0.073022
0.200000, -0.000650, 0.021783, -0.006704, 0.217824, -0.033834, 1.089118, -0.006530, -0.032648, -0.086687, 1.089034, -0.170967
0.300000, -0.000403, 0.049610, -0.001876, 0.330748, -0.006384, 1.102548, 0.031291, 0.104305, 0.034265, 1.128995, 0.515165
0.400000, -0.004497, 0.084938, -0.029406, 0.424296, -0.073711, 1.060655, 0.045179, 0.112948, -0.172174, 0.937248, 0.147523
0.500000, -0.007441, 0.131477, -0.050456, 0.524566, -0.101017, 1.049040, 0.056087, 0.112173, -0.018954, 1.020237, 0.108296
0.600000, -0.009562, 0.186693, -0.073091, 0.619606, -0.121825, 1.032576, 0.024259, 0.040431, 0.067316, 0.986829, -0.390022
0.700000, -0.015409, 0.256906, -0.092838, 0.730727, -0.132605, 1.043834, 0.057900, 0.082714, -0.047242, 1.130916, 0.378699
0.800000, -0.021928, 0.329031, -0.133103, 0.815822, -0.166319, 1.019704, 0.094038, 0.117548, 0.018926, 0.916770, 0.396214
0.900000, -0.030455, 0.416954, -0.205963, 0.910766, -0.228745, 1.011918, 0.094432, 0.104924, 0.031920, 1.110598, -0.008686
1.000000, -0.057713, 0.463704, -0.297814, 0.894348, -0.297688, 0.894208, 0.129246, 0.129246, -0.068646, 0.069633, 0.372463
1.100000, -0.087104, 0.496513, -0.399471, 0.839912, -0.362974, 0.763353, 0.104358, 0.094871, 0.111783, -0.086820, -0.283257
1.200000, -0.126963, 0.524197, -0.482106, 0.781920, -0.401532, 0.651362, 0.128160, 0.106800, 0.027249, -0.118842, 0.249956
1.300000, -0.175137, 0.548165, -0.578958, 0.705988, -0.445087, 0.542829, 0.125775, 0.096750, -0.008302, -0.079562, -0.033904
1.400000, -0.228460, 0.566654, -0.663643, 0.622587, -0.473728, 0.444483, 0.134227, 0.095877, -0.006591, -0.052379, 0.083649
1.500000, -0.273831, 0.588451, -0.732931, 0.546045, -0.488280, 0.363852, 0.156045, 0.104030, 0.081035, 0.178561, 0.226330
1.600000, -0.339512, 0.591858, -0.813062, 0.421043, -0.507799, 0.263022, 0.176834, 0.110521, -0.041413, -0.044825, 0.214378
1.700000, -0.387183, 0.583356, -0.856800, 0.285059, -0.503611, 0.167620, 0.165116, 0.097127, 0.176947, 0.136080, -0.130574
1.800000, -0.442527, 0.560055, -0.878974, 0.144422, -0.487923, 0.080236, 0.175398, 0.097443, 0.130658, 0.040668, 0.103136
1.900000, -0.514516, 0.531040, -0.899080, -0.017530, -0.472817, -0.009161, 0.171867, 0.090456, -0.083678, -0.063585, -0.042297
2.000000, -0.624327, 0.432862, -0.868555, -0.258180, -0.433912, -0.128990, 0.173281, 0.086640, 0.143133, -0.871875, 0.010328
2.100000, -0.730254, 0.330265, -0.807496, -0.487290, -0.384184, -0.231906, 0.148593, 0.070759, 0.035592, -0.832563, -0.262759
2.200000, -0.844672, 0.222687, -0.740247, -0.698082, -0.336171, -0.317150, 0.131356, 0.059707, -0.137810, -0.966472, -0.183427
2.300000, -0.945423, 0.101020, -0.651224, -0.883728, -0.282867, -0.384053, 0.108892, 0.047344, -0.087786, -0.947306, -0.236998
2.400000, -1.028829, -0.028626, -0.558390, -1.036018, -0.232416, -0.431487, 0.101702, 0.042376, -0.070566, -0.867713, -0.076870
2.500000, -1.094701, -0.174209, -0.446407, -1.171696, -0.178342, -0.468483, 0.124248, 0.049699, 0.039238, -0.843559, 0.232787
2.600000, -1.153663, -0.339194, -0.284942, -1.316695, -0.109401, -0.506217, 0.132185, 0.050840, 0.128270, -0.987287, 0.080507
2.700000, -1.189411, -0.496748, -0.104980, -1.429243, -0.038723, -0.529136, 0.144377, 0.053473, 0.039390, -0.864929, 0.124554
2.799999, -1.220518, -0.657808, 0.102013, -1.531264, 0.036554, -0.546661, 0.121250, 0.043304, 0.002652, -1.018052, -0.241437
